,answer,source,question,responder,all_history,speaker_from,relevance_rate,manner_rate,quality_rate,Committment_value,consistency_value,outcome_value,outcome_reason,annotator,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
31,"Yes, that's correct.",enron_defense_1,"Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?",D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
",Prosecution,1,1,1,3,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,0,0,1.0,0.5,0.0,0.5,0.0,-1.8345820385994869,-1.0046505228887856,0.29230839592642127,-0.8299315157107012
32,That's correct.,enron_defense_1,"The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?",D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
",Prosecution,1,1,1,3,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,0,0,1.0,0.5,0.0,1.0,0.0,-1.3197758542986104,-1.0046505228887856,0.1355712250138604,-0.3151253314098248
33,That's correct.,enron_defense_1,"The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?",D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
",Prosecution,1,1,1,3,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,0,0,1.0,0.5,0.0,1.5,0.0,-0.804969669997734,-1.0046505228887856,-0.11034406759826289,0.19968085289105164
34,That's correct.,enron_defense_1,"The next one, 279April 10th of 1998, $55,000 to the IRS?",D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
D_WITNESS: That's correct.

PROSECUTION: The next one, 279April 10th of 1998, $55,000 to the IRS?
",Prosecution,1,1,1,3,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,0,0,1.0,0.5,0.0,2.0,0.0,-0.2901634856968575,-1.0046505228887856,-0.5518066938219024,0.7144870371919281
35,I don't recall.,enron_defense_1,"Sir, is it your testimony that you did not backdate that Check Number 277?",D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
D_WITNESS: That's correct.

PROSECUTION: The next one, 279April 10th of 1998, $55,000 to the IRS?
D_WITNESS: That's correct.

PROSECUTION: Sir, is it your testimony that you did not backdate that Check Number 277?
",Prosecution,1,3,2,4,0,Witness,I choose this side because my personal emotions and bias towards this side/the other side. [Emotions],serendipity7@hanyang.ac.kr,0,1,0,1.0,0.0,0.5,2.0,0.5,-0.2901634856968575,-0.6973325097693017,-0.4123247344210598,0.4071690240724442
36,"No, I can't, Mr. Berkowitz. And if it’s – if you believe that this is somehow a violation of a tax laws. I'd be happy to sit down and talk to you about it, because it's not...",enron_defense_1,"Can you explain to the jury, sir, why it is that Check 277 has a date of December 28, 1997?",D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
D_WITNESS: That's correct.

PROSECUTION: The next one, 279April 10th of 1998, $55,000 to the IRS?
D_WITNESS: That's correct.

PROSECUTION: Sir, is it your testimony that you did not backdate that Check Number 277?
D_WITNESS: I don't recall.

PROSECUTION: Can you explain to the jury, sir, why it is that Check 277 has a date of December 28, 1997?
",Prosecution,1,3,1,1,0,Questioner,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,1,0,0.6666666666666666,0.4,1.0,2.4,1.5,0.1216814617438435,-0.08269648353033385,5.24247940206244,0.20437794527417735
37,I'm sorry.,enron_defense_1,"And, sir, is it your testimony that your relationship-that the personal nature of your relationship with Ms. Bender ended in 1998?",D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
D_WITNESS: That's correct.

PROSECUTION: The next one, 279April 10th of 1998, $55,000 to the IRS?
D_WITNESS: That's correct.

PROSECUTION: Sir, is it your testimony that you did not backdate that Check Number 277?
D_WITNESS: I don't recall.

PROSECUTION: Can you explain to the jury, sir, why it is that Check 277 has a date of December 28, 1997?
D_WITNESS: No, I can't, Mr. Berkowitz. And if it’s – if you believe that this is somehow a violation of a tax laws. I'd be happy to sit down and talk to you about it, because it's not...

PROSECUTION: And, sir, is it your testimony that your relationship-that the personal nature of your relationship with Ms. Bender ended in 1998?
",Prosecution,4,4,1,4,0,Questioner,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,1,1,0,0.42857142857142855,0.0,0.5,2.4,2.0,0.1216814617438435,0.2246215295891501,-0.2972543420692627,-0.1029400678453066
38,"Oh, no. We stayed friends. We're friends. I haven’t talked to her in awhile, but we may have occasionally dated some subsequent to that.",enron_defense_1,Is it your testimony that the personal nature of your relationship with Ms. Bender ended in 1998?,D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
D_WITNESS: That's correct.

PROSECUTION: The next one, 279April 10th of 1998, $55,000 to the IRS?
D_WITNESS: That's correct.

PROSECUTION: Sir, is it your testimony that you did not backdate that Check Number 277?
D_WITNESS: I don't recall.

PROSECUTION: Can you explain to the jury, sir, why it is that Check 277 has a date of December 28, 1997?
D_WITNESS: No, I can't, Mr. Berkowitz. And if it’s – if you believe that this is somehow a violation of a tax laws. I'd be happy to sit down and talk to you about it, because it's not...

PROSECUTION: And, sir, is it your testimony that your relationship-that the personal nature of your relationship with Ms. Bender ended in 1998?
D_WITNESS: I'm sorry.

PROSECUTION: Is it your testimony that the personal nature of your relationship with Ms. Bender ended in 1998?
",Prosecution,1,2,1,3,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,0,0,0.5,0.5,0.0,2.9,2.0,0.63648764604472,0.2246215295891501,0.47829721028392436,0.41186611645556986
39,We stayed friends after that.,enron_defense_1,But your romantic relationship with her ended in 1997 or 1998?,D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
D_WITNESS: That's correct.

PROSECUTION: The next one, 279April 10th of 1998, $55,000 to the IRS?
D_WITNESS: That's correct.

PROSECUTION: Sir, is it your testimony that you did not backdate that Check Number 277?
D_WITNESS: I don't recall.

PROSECUTION: Can you explain to the jury, sir, why it is that Check 277 has a date of December 28, 1997?
D_WITNESS: No, I can't, Mr. Berkowitz. And if it’s – if you believe that this is somehow a violation of a tax laws. I'd be happy to sit down and talk to you about it, because it's not...

PROSECUTION: And, sir, is it your testimony that your relationship-that the personal nature of your relationship with Ms. Bender ended in 1998?
D_WITNESS: I'm sorry.

PROSECUTION: Is it your testimony that the personal nature of your relationship with Ms. Bender ended in 1998?
D_WITNESS: Oh, no. We stayed friends. We're friends. I haven’t talked to her in awhile, but we may have occasionally dated some subsequent to that.

PROSECUTION: But your romantic relationship with her ended in 1997 or 1998?
",Prosecution,1,3,1,1,1,Questioner,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,1,0,0.3333333333333333,0.4,1.6600000000000001,3.3,3.66,1.0483325934854208,1.2449173331458367,-0.08572320765281581,-0.1965847396604159
40,"You'd have to define – what – what does this have to do with fraud at Enron Corporation, just out of curiosity?",enron_defense_1,That's not my question.,D_WITNESS,"PROSECUTION: Sir, 24680 is a check [to Ms. Bender] dated March 3 of 1998, Number 276; correct?
D_WITNESS: Yes, that's correct.

PROSECUTION: The next one is dated [sic] 277 for $10,000 to Ms. Bender; correct?
D_WITNESS: That's correct.

PROSECUTION: The next one in sequence, March 2nd, 1998, $10,000 to Ms. Bender?
D_WITNESS: That's correct.

PROSECUTION: The next one, 279April 10th of 1998, $55,000 to the IRS?
D_WITNESS: That's correct.

PROSECUTION: Sir, is it your testimony that you did not backdate that Check Number 277?
D_WITNESS: I don't recall.

PROSECUTION: Can you explain to the jury, sir, why it is that Check 277 has a date of December 28, 1997?
D_WITNESS: No, I can't, Mr. Berkowitz. And if it’s – if you believe that this is somehow a violation of a tax laws. I'd be happy to sit down and talk to you about it, because it's not...

PROSECUTION: And, sir, is it your testimony that your relationship-that the personal nature of your relationship with Ms. Bender ended in 1998?
D_WITNESS: I'm sorry.

PROSECUTION: Is it your testimony that the personal nature of your relationship with Ms. Bender ended in 1998?
D_WITNESS: Oh, no. We stayed friends. We're friends. I haven’t talked to her in awhile, but we may have occasionally dated some subsequent to that.

PROSECUTION: But your romantic relationship with her ended in 1997 or 1998?
D_WITNESS: We stayed friends after that.

PROSECUTION: That's not my question.
",Prosecution,1,4,2,4,0,Questioner,I choose this side because of their logical arguments are convincing.[Logical facts],serendipity7@hanyang.ac.kr,0,1,0,0.2,0.0,0.5,3.3,4.16,1.0483325934854208,1.5522353462653207,-0.19376642504798308,-0.5039027527798998
