,answer,source,question,responder,all_history,speaker_from,relevance_rate,manner_rate,quality_rate,Committment_value,consistency_value,outcome_value,outcome_reason,annotator,relevance_binary,manner_binary,quality_binary,NRA,bat,pat,bat_cumsum,pat_cumsum,Z_BaT,Z_PaT,ZNRBaT,net_ZNRBaT
64,"I have no notes of that, no.",simpson_defense_5,"And the examination you did on the 15th of June, you say you have no notes of that; is that correct?",D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
",Prosecution,1,1,1,1,0,Questioner,I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment],rileyzcx@connect.hku.hk,0,0,0,-1.0,0.0,1.0,0.0,1.0,-2.0202813703236786,-1.3502342887179828,0.19879660840864044,-0.6700470816056958
65,That is correct.,simpson_defense_5,But you did in fact prepare a typewritten report; is that correct?,D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
",Prosecution,1,1,1,2,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],rileyzcx@connect.hku.hk,0,0,0,0.0,1.0,0.0,1.0,1.0,-1.9007496888593292,-1.3502342887179828,0.16933808469631392,-0.5505154001413464
66,"Uh, that is not in the report. That was subsequently added--",simpson_defense_5,"Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?",D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
",Prosecution,1,2,2,4,0,Questioner,"{'choices': ['I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment]', 'I choose this side because my personal emotions and bias towards this side/the other side. [Emotions]']}",rileyzcx@connect.hku.hk,0,0,0,-0.3333333333333333,0.0,0.5,1.0,1.5,-1.9007496888593292,-1.300539410226492,0.1874901828779652,-0.6002102786328372
67,"In most cases, that's true.",simpson_defense_5,"And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?",D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
D_WITNESS: Uh, that is not in the report. That was subsequently added--

PROSECUTION: And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?
",Prosecution,1,2,1,2,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],rileyzcx@connect.hku.hk,0,0,0,0.0,1.0,0.0,2.0,1.5,-1.7812180073949795,-1.300539410226492,0.15597548152880886,-0.4806785971684875
68,"Yes, I did.",simpson_defense_5,Did you consider the possibility in evaluating Mr. Simpson on June 15th that he had a motive to lie regarding his symptoms?,D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
D_WITNESS: Uh, that is not in the report. That was subsequently added--

PROSECUTION: And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?
D_WITNESS: In most cases, that's true.

PROSECUTION: Did you consider the possibility in evaluating Mr. Simpson on June 15th that he had a motive to lie regarding his symptoms?
",Prosecution,1,1,1,2,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],rileyzcx@connect.hku.hk,0,0,0,0.2,1.0,0.0,3.0,1.5,-1.66168632593063,-1.300539410226492,0.12191741881651862,-0.36114691570413804
69,My report is based on the history that I obtained from him and my observations are the observations that I made of him.,simpson_defense_5,"And, doctor, you have no independent basis on which to evaluate whether or not Mr. Simpson was truthful with you, fully candid or whether in fact he was pulling his punches with you, can you?",D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
D_WITNESS: Uh, that is not in the report. That was subsequently added--

PROSECUTION: And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?
D_WITNESS: In most cases, that's true.

PROSECUTION: Did you consider the possibility in evaluating Mr. Simpson on June 15th that he had a motive to lie regarding his symptoms?
D_WITNESS: Yes, I did.

PROSECUTION: And, doctor, you have no independent basis on which to evaluate whether or not Mr. Simpson was truthful with you, fully candid or whether in fact he was pulling his punches with you, can you?
",Prosecution,2,3,2,1,0,Questioner,I choose this side because of framing of the other side as creditless/bad.[Crediblity establishment],rileyzcx@connect.hku.hk,0,1,0,0.0,0.4,1.0,3.4,2.5,-1.61387365334489,-1.2011496532435102,0.14661477194004863,-0.4127240001013799
70,That is correct.,simpson_defense_5,"Now, doctor, on the 17th, if you felt that you had been unable to adequately examine Mr. Simpson on the 15th, you had an opportunity to conduct any additional examinations you required; isn't that correct?",D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
D_WITNESS: Uh, that is not in the report. That was subsequently added--

PROSECUTION: And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?
D_WITNESS: In most cases, that's true.

PROSECUTION: Did you consider the possibility in evaluating Mr. Simpson on June 15th that he had a motive to lie regarding his symptoms?
D_WITNESS: Yes, I did.

PROSECUTION: And, doctor, you have no independent basis on which to evaluate whether or not Mr. Simpson was truthful with you, fully candid or whether in fact he was pulling his punches with you, can you?
D_WITNESS: My report is based on the history that I obtained from him and my observations are the observations that I made of him.

PROSECUTION: Now, doctor, on the 17th, if you felt that you had been unable to adequately examine Mr. Simpson on the 15th, you had an opportunity to conduct any additional examinations you required; isn't that correct?
",Prosecution,1,1,1,1,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],rileyzcx@connect.hku.hk,0,0,0,0.14285714285714285,0.0,1.0,3.4,3.5,-1.61387365334489,-1.1017598962605284,0.18857984618682141,-0.5121137570843617
71,Yes.,simpson_defense_5,"In your training, have you been taught for identifying osteoarthritis, that when you feel around the joint, you expect to find a hardening type of feeling, a bony type of feeling?",D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
D_WITNESS: Uh, that is not in the report. That was subsequently added--

PROSECUTION: And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?
D_WITNESS: In most cases, that's true.

PROSECUTION: Did you consider the possibility in evaluating Mr. Simpson on June 15th that he had a motive to lie regarding his symptoms?
D_WITNESS: Yes, I did.

PROSECUTION: And, doctor, you have no independent basis on which to evaluate whether or not Mr. Simpson was truthful with you, fully candid or whether in fact he was pulling his punches with you, can you?
D_WITNESS: My report is based on the history that I obtained from him and my observations are the observations that I made of him.

PROSECUTION: Now, doctor, on the 17th, if you felt that you had been unable to adequately examine Mr. Simpson on the 15th, you had an opportunity to conduct any additional examinations you required; isn't that correct?
D_WITNESS: That is correct.

PROSECUTION: You didn't find any enlarged lymph node under the left armpit, did you, at that time?
D_WITNESS: I did not.

PROSECUTION: In your training, have you been taught for identifying osteoarthritis, that when you feel around the joint, you expect to find a hardening type of feeling, a bony type of feeling?
",Prosecution,1,1,1,2,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],rileyzcx@connect.hku.hk,0,0,0,0.25,1.0,0.0,4.4,3.5,-1.4943419718805406,-1.1017598962605284,0.15121982709450435,-0.39258207562001224
72,"Yes, it is.",simpson_defense_5,And have you also been taught--rheumatoid arthritis is an inflammatory disease; is it not?,D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
D_WITNESS: Uh, that is not in the report. That was subsequently added--

PROSECUTION: And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?
D_WITNESS: In most cases, that's true.

PROSECUTION: Did you consider the possibility in evaluating Mr. Simpson on June 15th that he had a motive to lie regarding his symptoms?
D_WITNESS: Yes, I did.

PROSECUTION: And, doctor, you have no independent basis on which to evaluate whether or not Mr. Simpson was truthful with you, fully candid or whether in fact he was pulling his punches with you, can you?
D_WITNESS: My report is based on the history that I obtained from him and my observations are the observations that I made of him.

PROSECUTION: Now, doctor, on the 17th, if you felt that you had been unable to adequately examine Mr. Simpson on the 15th, you had an opportunity to conduct any additional examinations you required; isn't that correct?
D_WITNESS: That is correct.

PROSECUTION: You didn't find any enlarged lymph node under the left armpit, did you, at that time?
D_WITNESS: I did not.

PROSECUTION: In your training, have you been taught for identifying osteoarthritis, that when you feel around the joint, you expect to find a hardening type of feeling, a bony type of feeling?
D_WITNESS: Yes.

PROSECUTION: And have you also been taught--rheumatoid arthritis is an inflammatory disease; is it not?
",Prosecution,1,1,1,2,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],rileyzcx@connect.hku.hk,0,0,0,0.3333333333333333,1.0,0.0,5.4,3.5,-1.374810290416191,-1.1017598962605284,0.11025344471341865,-0.27305039415566257
73,"Yes, there is.",simpson_defense_5,"Now, doctor, if you're concerned about rheumatoid arthritis, there's something called a grip test that can be done, isn't there?",D_WITNESS,"PROSECUTION: And the examination you did on the 15th of June, you say you have no notes of that; is that correct?
D_WITNESS: I have no notes of that, no.

PROSECUTION: But you did in fact prepare a typewritten report; is that correct?
D_WITNESS: That is correct.

PROSECUTION: Doctor, where in your report did you list anything related to Mr. Simpson walking--I hate to use your terminology--like Tarzan's grandfather or having any kind of irregular gait, g-a-I-t?
D_WITNESS: Uh, that is not in the report. That was subsequently added--

PROSECUTION: And, doctor, would you agree that under normal circumstances, a doctor accepts as true the history that is given to him by the patient because of the belief that the patient has an incentive to be honest and candid with the physician in order that the physician can accurately identify any problem and subsequently treat it?
D_WITNESS: In most cases, that's true.

PROSECUTION: Did you consider the possibility in evaluating Mr. Simpson on June 15th that he had a motive to lie regarding his symptoms?
D_WITNESS: Yes, I did.

PROSECUTION: And, doctor, you have no independent basis on which to evaluate whether or not Mr. Simpson was truthful with you, fully candid or whether in fact he was pulling his punches with you, can you?
D_WITNESS: My report is based on the history that I obtained from him and my observations are the observations that I made of him.

PROSECUTION: Now, doctor, on the 17th, if you felt that you had been unable to adequately examine Mr. Simpson on the 15th, you had an opportunity to conduct any additional examinations you required; isn't that correct?
D_WITNESS: That is correct.

PROSECUTION: You didn't find any enlarged lymph node under the left armpit, did you, at that time?
D_WITNESS: I did not.

PROSECUTION: In your training, have you been taught for identifying osteoarthritis, that when you feel around the joint, you expect to find a hardening type of feeling, a bony type of feeling?
D_WITNESS: Yes.

PROSECUTION: And have you also been taught--rheumatoid arthritis is an inflammatory disease; is it not?
D_WITNESS: Yes, it is.

PROSECUTION: Now, doctor, if you're concerned about rheumatoid arthritis, there's something called a grip test that can be done, isn't there?
",Prosecution,1,1,1,2,0,Witness,I choose this side because of their logical arguments are convincing.[Logical facts],rileyzcx@connect.hku.hk,0,0,0,0.4,1.0,0.0,6.4,3.5,-1.2552786089518413,-1.1017598962605284,0.06513203426750164,-0.1535187126913129
